Environnement;Entité;DISTRIBUTEUR;couloir;niveau d'environnement;sous niveau d'environnement
DEV10;PREDICA;N/A;VERSION;FABRICATION;Dév Bouchonné
QUAL;PREDICA;N/A;VERSION;FABRICATION;Dév Intégré
RS/RU;PREDICA;N/A;VERSION;QUALIFICATION;Accostage
RL/RP;PREDICA;N/A;VERSION;QUALIFICATION;Accostage
RT/RR;PREDICA;N/A;VERSION;QUALIFICATION;Accostage
RM/RO;PREDICA;N/A;VERSION;QUALIFICATION;Qual. Fonct.
RIFR;PREDICA;VMOA;VERSION;QUALIFICATION;Qual. Fonct. CRCA
TSFR;PREDICA;NEHOM;VERSION;HOMOLOGATION;Homol. Distrib. CRCA
PREPROD;PREDICA;N/A;VERSION;HOMOLOGATION;Homolagation NF
PROD;PREDICA;N/A;VERSION;PRODUCTION;PRODUCTION
DEV10;PREDICA;N/A;HORS VERSION;FABRICATION;Dév Bouchonné
DEV9;PREDICA;N/A;HORS VERSION;FABRICATION;Dév Intégré
RI/RJ;PREDICA;N/A;HORS VERSION;QUALIFICATION;Accostage
RI/RJ;PREDICA;N/A;HORS VERSION;QUALIFICATION;Qual. Fonct.
RIFR;PREDICA;VMOA;HORS VERSION;QUALIFICATION;Qual. Fonct. CRCA
TSFR;PREDICA;NEHOM;HORS VERSION;HOMOLOGATION;Homol. Distrib. CRCA
Selon Dispo;PREDICA;N/A;HORS VERSION;HOMOLOGATION;Homolagation NF
PROD;PREDICA;N/A;HORS VERSION;PRODUCTION;PRODUCTION
;;;;;
N/A;PREDICA;N/A;CMA;FABRICATION;Dév Bouchonné
DEV6;PREDICA;N/A;CMA;FABRICATION;Dév Intégré
RF/RH;PREDICA;N/A;CMA;QUALIFICATION;Accostage
RF/RH;PREDICA;N/A;CMA;QUALIFICATION;Qual. Fonct.
TSFR;PREDICA;NEHOM;CMA;HOMOLOGATION;Homol. Distrib. CRCA
Selon Dispo;PREDICA;N/A;CMA;HOMOLOGATION;Homolagation NF
PROD;PREDICA;N/A;VERSION;PRODUCTION;PRODUCTION
